issue_label,year,region,primary_parties,allies,adversaries,trigger_event,escalation_level,probability_estimate,confidence,humanitarian_impact,economic_impact,cyber_domain,nuclear_risk,narrative,data_origin,notes
Israel-Arab Tensions,2024,East Asia,China; Taiwan,Coalition A,Opposing Coalition,Maritime confrontation,Low,0.298,Medium,Humanitarian crisis,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Eastern Europe,North Korea; South Korea,Regional Allies,Non-State Actors,Proxy conflict,Severe,0.524,Low,Localized displacement,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Non-State Actors,Border incident,Moderate,0.25,Medium,Localized displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Latin America,Russia; Ukraine,NATO,Hybrid Threats,Sanctions escalation,High,0.746,Low,Humanitarian crisis,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,NATO,Opposing Coalition,Proxy conflict,Moderate,0.166,Low,Regional displacement,Global market impact,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Middle East,China; Taiwan,Coalition A,Non-State Actors,Border incident,High,0.697,High,Humanitarian crisis,Localized shock,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,India; Pakistan,NATO,Opposing Coalition,Border incident,High,0.122,Medium,Mass displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,State Actors,Cyber attack,Low,0.747,High,Humanitarian crisis,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,Venezuela; United States,Non-Aligned,Hybrid Threats,Sanctions escalation,Severe,0.777,Low,Humanitarian crisis,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Eastern Europe,Russia; Ukraine,Coalition B,Non-State Actors,Proxy conflict,Severe,0.501,High,Humanitarian crisis,Regional recession,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,South Asia,India; Pakistan,Non-Aligned,Non-State Actors,Cyber attack,Severe,0.673,High,Humanitarian crisis,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Hybrid Threats,Proxy conflict,High,0.395,Low,Regional displacement,Regional recession,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,East Asia,Russia; Ukraine,NATO,Non-State Actors,Airspace violation,Severe,0.679,Low,Humanitarian crisis,Energy price spike,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,NATO,Hybrid Threats,Proxy conflict,Low,0.293,Medium,Regional displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Hybrid Threats,Cyber attack,Low,0.372,Low,Localized displacement,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Latin America,Russia; Ukraine,UN Mediation,Non-State Actors,Sanctions escalation,High,0.434,Low,Localized displacement,Localized shock,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,East Asia,North Korea; South Korea,NATO,Opposing Coalition,Border incident,Severe,0.506,Low,Mass displacement,Regional recession,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Eastern Europe,China; Taiwan,Non-Aligned,Non-State Actors,Sanctions escalation,Severe,0.665,High,Humanitarian crisis,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Eastern Europe,India; Pakistan,Coalition B,Opposing Coalition,Proxy conflict,Moderate,0.119,Medium,Regional displacement,Global market impact,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,South Asia,Russia; Ukraine,Coalition B,State Actors,Airspace violation,High,0.025,Medium,Humanitarian crisis,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Middle East,Venezuela; United States,Coalition A,Hybrid Threats,Maritime confrontation,Moderate,0.026,Low,Localized displacement,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Eastern Europe,India; Pakistan,Coalition A,Non-State Actors,Airspace violation,Severe,0.714,Medium,Humanitarian crisis,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,South Asia,Russia; Ukraine,Non-Aligned,Opposing Coalition,Border incident,Low,0.648,High,Humanitarian crisis,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,South Asia,Venezuela; United States,NATO,Non-State Actors,Maritime confrontation,High,0.146,High,Regional displacement,Localized shock,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,East Asia,Russia; Ukraine,Regional Allies,Non-State Actors,Border incident,Low,0.456,Medium,Mass displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,East Asia,Russia; Ukraine,Non-Aligned,State Actors,Cyber attack,Moderate,0.49,Low,Localized displacement,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,North Korea; South Korea,Coalition B,Non-State Actors,Border incident,Low,0.166,Medium,Regional displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,South Asia,India; Pakistan,Coalition A,Hybrid Threats,Sanctions escalation,Severe,0.24,Medium,Regional displacement,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,Non-Aligned,Hybrid Threats,Proxy conflict,High,0.263,High,Localized displacement,Global market impact,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,South Asia,Russia; Ukraine,Coalition B,Opposing Coalition,Proxy conflict,Moderate,0.496,Low,Regional displacement,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,Venezuela; United States,Coalition B,Hybrid Threats,Cyber attack,Moderate,0.083,Medium,Mass displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,East Asia,Venezuela; United States,Regional Allies,Non-State Actors,Airspace violation,Low,0.788,Low,Mass displacement,Localized shock,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Eastern Europe,China; Taiwan,Non-Aligned,Non-State Actors,Airspace violation,High,0.208,Medium,Localized displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,East Asia,North Korea; South Korea,Regional Allies,Non-State Actors,Sanctions escalation,Low,0.214,Low,Mass displacement,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,State Actors,Airspace violation,Severe,0.643,Low,Localized displacement,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Opposing Coalition,Airspace violation,Severe,0.516,High,Mass displacement,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Eastern Europe,Russia; Ukraine,Regional Allies,Opposing Coalition,Sanctions escalation,Severe,0.847,Low,Regional displacement,Global market impact,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,Coalition B,Non-State Actors,Maritime confrontation,Moderate,0.632,High,Localized displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Latin America,India; Pakistan,Coalition B,Opposing Coalition,Border incident,Low,0.424,Low,Localized displacement,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,North Korea; South Korea,UN Mediation,Hybrid Threats,Proxy conflict,Severe,0.286,Low,Mass displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,Russia; Ukraine,Regional Allies,Non-State Actors,Maritime confrontation,Severe,0.75,High,Localized displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,East Asia,Venezuela; United States,NATO,Opposing Coalition,Proxy conflict,Low,0.628,Medium,Mass displacement,Regional recession,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,North Korea; South Korea,Regional Allies,Non-State Actors,Airspace violation,Moderate,0.092,Low,Regional displacement,Regional recession,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Middle East,North Korea; South Korea,UN Mediation,Hybrid Threats,Proxy conflict,Low,0.054,High,Mass displacement,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,North Korea; South Korea,Coalition B,Opposing Coalition,Sanctions escalation,Severe,0.657,Medium,Regional displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Latin America,China; Taiwan,Coalition A,State Actors,Border incident,Severe,0.034,High,Humanitarian crisis,Global market impact,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,South Asia,Venezuela; United States,Non-Aligned,Opposing Coalition,Border incident,High,0.433,High,Regional displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,East Asia,Russia; Ukraine,Coalition A,State Actors,Maritime confrontation,Severe,0.204,High,Localized displacement,Localized shock,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Non-State Actors,Proxy conflict,Moderate,0.733,Low,Mass displacement,Regional recession,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Middle East,India; Pakistan,Coalition B,State Actors,Proxy conflict,Low,0.259,Low,Localized displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,India; Pakistan,Regional Allies,State Actors,Sanctions escalation,Moderate,0.813,High,Mass displacement,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,NATO,Non-State Actors,Sanctions escalation,Low,0.749,Medium,Humanitarian crisis,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,South Asia,Russia; Ukraine,Regional Allies,State Actors,Airspace violation,Moderate,0.503,High,Humanitarian crisis,Localized shock,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Latin America,North Korea; South Korea,UN Mediation,Hybrid Threats,Cyber attack,Low,0.695,Low,Localized displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,North Korea; South Korea,Non-Aligned,Hybrid Threats,Proxy conflict,Severe,0.281,Medium,Mass displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,East Asia,India; Pakistan,Regional Allies,Hybrid Threats,Maritime confrontation,Low,0.677,High,Mass displacement,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,India; Pakistan,Coalition A,Non-State Actors,Cyber attack,Low,0.749,Medium,Mass displacement,Energy price spike,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,South Asia,Russia; Ukraine,Non-Aligned,Non-State Actors,Maritime confrontation,Moderate,0.577,Medium,Mass displacement,Global market impact,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Middle East,China; Taiwan,Coalition A,Opposing Coalition,Border incident,Severe,0.841,Medium,Localized displacement,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Middle East,North Korea; South Korea,Coalition B,Non-State Actors,Sanctions escalation,Moderate,0.191,High,Localized displacement,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,Non-Aligned,State Actors,Airspace violation,Moderate,0.416,High,Regional displacement,Regional recession,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,China; Taiwan,NATO,Hybrid Threats,Maritime confrontation,Moderate,0.627,Low,Regional displacement,Global market impact,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,East Asia,Russia; Ukraine,Regional Allies,Opposing Coalition,Cyber attack,Severe,0.077,Medium,Humanitarian crisis,Localized shock,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,East Asia,Venezuela; United States,Non-Aligned,Non-State Actors,Airspace violation,Moderate,0.163,Low,Humanitarian crisis,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Middle East,Venezuela; United States,Regional Allies,Non-State Actors,Maritime confrontation,Moderate,0.437,High,Humanitarian crisis,Regional recession,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,East Asia,India; Pakistan,Coalition B,Opposing Coalition,Proxy conflict,Severe,0.658,High,Mass displacement,Localized shock,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Latin America,Russia; Ukraine,Coalition B,Opposing Coalition,Maritime confrontation,Severe,0.685,Low,Localized displacement,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Latin America,North Korea; South Korea,Non-Aligned,Hybrid Threats,Border incident,Moderate,0.315,High,Regional displacement,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Latin America,China; Taiwan,UN Mediation,State Actors,Maritime confrontation,Moderate,0.683,High,Humanitarian crisis,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Latin America,China; Taiwan,Regional Allies,Hybrid Threats,Cyber attack,High,0.821,Medium,Regional displacement,Regional recession,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,South Asia,China; Taiwan,Coalition A,Non-State Actors,Sanctions escalation,Moderate,0.678,High,Humanitarian crisis,Energy price spike,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Opposing Coalition,Proxy conflict,Severe,0.138,Medium,Localized displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,East Asia,India; Pakistan,NATO,State Actors,Proxy conflict,Moderate,0.108,Low,Regional displacement,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,State Actors,Proxy conflict,High,0.048,Low,Localized displacement,Regional recession,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,East Asia,Russia; Ukraine,Coalition B,Hybrid Threats,Proxy conflict,High,0.58,Medium,Localized displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Opposing Coalition,Cyber attack,Moderate,0.752,Low,Regional displacement,Regional recession,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,South Asia,North Korea; South Korea,Coalition A,Opposing Coalition,Sanctions escalation,Severe,0.235,Medium,Mass displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,South Asia,Russia; Ukraine,UN Mediation,State Actors,Sanctions escalation,Moderate,0.77,Medium,Regional displacement,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,South Asia,India; Pakistan,NATO,State Actors,Proxy conflict,Severe,0.522,Medium,Localized displacement,Regional recession,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Middle East,North Korea; South Korea,Coalition A,Non-State Actors,Border incident,Moderate,0.33,High,Mass displacement,Energy price spike,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,East Asia,India; Pakistan,Non-Aligned,Non-State Actors,Cyber attack,High,0.011,Low,Mass displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Eastern Europe,India; Pakistan,Non-Aligned,State Actors,Proxy conflict,Moderate,0.613,High,Mass displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,East Asia,China; Taiwan,UN Mediation,Hybrid Threats,Border incident,Severe,0.447,Medium,Mass displacement,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,East Asia,Russia; Ukraine,NATO,Opposing Coalition,Proxy conflict,Low,0.112,High,Humanitarian crisis,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,East Asia,North Korea; South Korea,Non-Aligned,State Actors,Maritime confrontation,High,0.194,Medium,Humanitarian crisis,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Eastern Europe,China; Taiwan,Coalition A,Hybrid Threats,Border incident,Moderate,0.48,Medium,Humanitarian crisis,Global market impact,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Eastern Europe,Venezuela; United States,NATO,Opposing Coalition,Border incident,Moderate,0.61,High,Mass displacement,Global market impact,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Middle East,Venezuela; United States,UN Mediation,State Actors,Maritime confrontation,High,0.409,Medium,Localized displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,East Asia,Russia; Ukraine,UN Mediation,State Actors,Airspace violation,Low,0.328,Low,Regional displacement,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Hybrid Threats,Airspace violation,Severe,0.703,Low,Localized displacement,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Eastern Europe,Russia; Ukraine,Coalition A,Hybrid Threats,Border incident,Low,0.306,Medium,Localized displacement,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Non-State Actors,Cyber attack,High,0.631,Low,Mass displacement,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Middle East,Venezuela; United States,Coalition B,State Actors,Border incident,Low,0.261,Low,Humanitarian crisis,Energy price spike,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,China; Taiwan,Non-Aligned,State Actors,Airspace violation,Moderate,0.821,Medium,Humanitarian crisis,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,China; Taiwan,Coalition B,Non-State Actors,Sanctions escalation,Severe,0.797,High,Mass displacement,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,East Asia,India; Pakistan,Coalition B,Non-State Actors,Airspace violation,High,0.395,Low,Localized displacement,Regional recession,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Eastern Europe,Venezuela; United States,Non-Aligned,Hybrid Threats,Cyber attack,Severe,0.464,Medium,Mass displacement,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Latin America,Russia; Ukraine,UN Mediation,Opposing Coalition,Cyber attack,Moderate,0.732,High,Mass displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Middle East,Venezuela; United States,Non-Aligned,Hybrid Threats,Proxy conflict,High,0.748,Medium,Mass displacement,Regional recession,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,State Actors,Airspace violation,Severe,0.458,Low,Localized displacement,Regional recession,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,East Asia,China; Taiwan,Non-Aligned,State Actors,Maritime confrontation,Low,0.062,High,Localized displacement,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Eastern Europe,China; Taiwan,Regional Allies,Hybrid Threats,Airspace violation,Low,0.42,Medium,Regional displacement,Global market impact,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Middle East,Russia; Ukraine,Non-Aligned,Opposing Coalition,Maritime confrontation,High,0.319,Low,Regional displacement,Localized shock,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Eastern Europe,Venezuela; United States,NATO,Opposing Coalition,Sanctions escalation,Severe,0.698,High,Humanitarian crisis,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Eastern Europe,China; Taiwan,NATO,Non-State Actors,Cyber attack,Low,0.786,Medium,Humanitarian crisis,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Latin America,China; Taiwan,NATO,Opposing Coalition,Border incident,Severe,0.301,High,Localized displacement,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Middle East,Russia; Ukraine,Regional Allies,Opposing Coalition,Maritime confrontation,High,0.152,High,Mass displacement,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Hybrid Threats,Airspace violation,High,0.483,Low,Regional displacement,Energy price spike,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Eastern Europe,China; Taiwan,NATO,State Actors,Airspace violation,Severe,0.042,Low,Humanitarian crisis,Energy price spike,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Latin America,Russia; Ukraine,Non-Aligned,Opposing Coalition,Cyber attack,High,0.645,Low,Localized displacement,Global market impact,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Middle East,Russia; Ukraine,NATO,Hybrid Threats,Sanctions escalation,Low,0.27,Medium,Humanitarian crisis,Energy price spike,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Middle East,India; Pakistan,Coalition A,Hybrid Threats,Cyber attack,Moderate,0.836,Low,Humanitarian crisis,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Eastern Europe,North Korea; South Korea,Coalition B,State Actors,Border incident,Severe,0.149,Low,Regional displacement,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
