issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,probability_estimate,risk_index,risk_tier,archetype,anomaly_flag,predicted_tier
Venezuela-US Tensions 2026,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Moderate,Localized shock,0.209,15.0,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,Low,Low,Low,Localized shock,0.696,23.6,🟢 Low,Cyber-Dominant,1,🟢 Low
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Low,None,Severe,Regional recession,0.29,28.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2026,Eastern Europe,Venezuela; United States,Severe,Low,Severe,Regional recession,0.318,63.8,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2026,South Asia,India; Pakistan,High,Moderate,Severe,Regional recession,0.698,76.4,🔴 Critical,Proxy War,1,🔴 Critical
Russia-Ukraine Conflict,2024,Middle East,Russia; Ukraine,Moderate,None,Moderate,Regional recession,0.66,28.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2026,South Asia,Venezuela; United States,Severe,Moderate,Severe,Localized shock,0.091,65.7,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2025,South Asia,Russia; Ukraine,Low,Low,Low,Regional recession,0.317,22.8,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2024,East Asia,North Korea; South Korea,Moderate,Low,High,Global market impact,0.288,43.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,East Asia,Russia; Ukraine,Low,None,Moderate,Global market impact,0.295,20.1,🟢 Low,Direct Confrontation,1,🟢 Low
Venezuela-US Tensions 2026,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Low,Energy price spike,0.042,33.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2026,South Asia,North Korea; South Korea,Low,Moderate,Severe,Regional recession,0.307,51.9,🟠 High,Direct Confrontation,1,🟠 High
Israel-Arab Tensions,2025,Latin America,North Korea; South Korea,Moderate,High,Low,Energy price spike,0.365,50.6,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2025,South Asia,India; Pakistan,Low,High,Moderate,Global market impact,0.152,52.7,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2025,South Asia,India; Pakistan,High,Low,High,Energy price spike,0.647,55.5,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,High,Global market impact,0.82,76.2,🔴 Critical,Cyber-Dominant,1,🔴 Critical
Venezuela-US Tensions 2026,2025,South Asia,Russia; Ukraine,Moderate,Moderate,Moderate,Energy price spike,0.126,40.5,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,South Asia,India; Pakistan,Severe,Moderate,Low,Global market impact,0.727,68.7,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,High,Regional recession,0.505,67.1,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2026,Middle East,China; Taiwan,Moderate,High,Low,Regional recession,0.314,52.0,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2026,Eastern Europe,Venezuela; United States,Moderate,Low,Low,Localized shock,0.064,18.4,🟢 Low,Direct Confrontation,1,🟢 Low
Venezuela-US Tensions 2026,2026,South Asia,North Korea; South Korea,Severe,None,Moderate,Regional recession,0.203,38.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2024,East Asia,India; Pakistan,Low,None,Moderate,Regional recession,0.076,12.7,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2025,Middle East,China; Taiwan,Severe,Low,Moderate,Regional recession,0.746,59.6,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2026,Middle East,Russia; Ukraine,Moderate,High,Low,Regional recession,0.399,53.5,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2026,Eastern Europe,China; Taiwan,Moderate,Moderate,Severe,Global market impact,0.357,62.2,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,High,None,Low,Energy price spike,0.234,24.9,🟢 Low,Nuclear Standoff,1,🟢 Low
Russia-Ukraine Conflict,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Severe,Global market impact,0.126,58.1,🟠 High,Direct Confrontation,1,🟠 High
Korean Peninsula Risk,2024,Eastern Europe,Venezuela; United States,Moderate,High,Moderate,Regional recession,0.715,64.9,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2024,Eastern Europe,North Korea; South Korea,Severe,High,Severe,Global market impact,0.337,91.1,🔴 Critical,Proxy War,-1,🔴 Critical
India-Pakistan Escalation 2025,2024,East Asia,Russia; Ukraine,Low,None,Moderate,Energy price spike,0.198,12.5,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,Low,Energy price spike,0.052,45.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Middle East,Venezuela; United States,Severe,High,High,Energy price spike,0.412,80.7,🔴 Critical,Proxy War,1,🔴 Critical
Russia-Ukraine Conflict,2024,Middle East,Venezuela; United States,High,High,Low,Global market impact,0.534,71.1,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,Middle East,North Korea; South Korea,High,None,High,Energy price spike,0.637,43.7,🟡 Moderate,Proxy War,1,🟡 Moderate
Korean Peninsula Risk,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Moderate,Regional recession,0.575,27.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Latin America,India; Pakistan,Low,High,Moderate,Localized shock,0.785,54.5,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2024,East Asia,China; Taiwan,Moderate,Low,Severe,Global market impact,0.167,47.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Middle East,Russia; Ukraine,High,None,High,Global market impact,0.717,50.9,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,Moderate,Global market impact,0.532,65.2,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2024,Latin America,Russia; Ukraine,Low,None,Low,Global market impact,0.628,20.1,🟢 Low,Cyber-Dominant,1,🟢 Low
Venezuela-US Tensions 2026,2024,Eastern Europe,North Korea; South Korea,Moderate,None,Severe,Localized shock,0.365,29.5,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,High,Localized shock,0.798,66.4,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2026,East Asia,Venezuela; United States,High,Moderate,Low,Energy price spike,0.77,57.7,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2024,Middle East,Russia; Ukraine,High,High,Moderate,Localized shock,0.253,62.7,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2025,Middle East,China; Taiwan,Severe,High,Severe,Regional recession,0.67,93.4,🔴 Critical,Proxy War,1,🔴 Critical
India-Pakistan Escalation 2025,2025,East Asia,India; Pakistan,High,None,Severe,Global market impact,0.495,52.9,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2026,Latin America,India; Pakistan,Low,None,Severe,Energy price spike,0.356,27.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2024,South Asia,China; Taiwan,Low,High,High,Global market impact,0.548,65.5,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2025,Middle East,China; Taiwan,Severe,Low,Moderate,Global market impact,0.126,52.2,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Moderate,Regional recession,0.485,49.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2025,Middle East,North Korea; South Korea,Severe,Moderate,Severe,Regional recession,0.619,80.8,🔴 Critical,Proxy War,1,🔴 Critical
India-Pakistan Escalation 2025,2026,Latin America,China; Taiwan,Moderate,None,Low,Regional recession,0.21,15.1,🟢 Low,Direct Confrontation,1,🟢 Low
Israel-Arab Tensions,2026,South Asia,China; Taiwan,Low,None,High,Global market impact,0.313,26.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2025,South Asia,Venezuela; United States,Moderate,Low,Severe,Global market impact,0.667,55.9,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2025,Middle East,North Korea; South Korea,Moderate,Low,Low,Energy price spike,0.691,32.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,South Asia,Venezuela; United States,High,None,High,Energy price spike,0.738,45.4,🟡 Moderate,Proxy War,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Latin America,Venezuela; United States,Moderate,Low,Severe,Regional recession,0.845,55.5,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2024,Eastern Europe,Venezuela; United States,Low,None,Severe,Global market impact,0.304,31.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Severe,Regional recession,0.14,31.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Latin America,China; Taiwan,Low,Low,High,Regional recession,0.17,31.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Middle East,Venezuela; United States,High,Moderate,Low,Localized shock,0.316,46.2,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Severe,Regional recession,0.07,41.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2026,South Asia,Venezuela; United States,Low,High,Moderate,Global market impact,0.768,63.5,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2026,South Asia,Venezuela; United States,Severe,Low,High,Global market impact,0.327,61.6,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2026,South Asia,China; Taiwan,Severe,None,Moderate,Energy price spike,0.073,33.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,High,Global market impact,0.211,47.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,Moderate,Moderate,Regional recession,0.782,72.0,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2024,South Asia,Russia; Ukraine,Low,High,Severe,Global market impact,0.266,66.4,🟠 High,Direct Confrontation,1,🟠 High
Russia-Ukraine Conflict,2026,South Asia,Russia; Ukraine,Moderate,Low,Severe,Localized shock,0.269,39.5,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2026,Eastern Europe,India; Pakistan,Severe,Low,Low,Regional recession,0.725,53.4,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2026,East Asia,Venezuela; United States,High,None,Moderate,Global market impact,0.247,36.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2024,Eastern Europe,North Korea; South Korea,Moderate,None,Moderate,Energy price spike,0.326,20.6,🟢 Low,Direct Confrontation,1,🟢 Low
Russia-Ukraine Conflict,2025,East Asia,Russia; Ukraine,High,Moderate,Severe,Global market impact,0.189,70.9,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2025,Eastern Europe,North Korea; South Korea,Moderate,Moderate,High,Energy price spike,0.431,51.7,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,Low,Regional recession,0.643,57.8,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2026,Latin America,Venezuela; United States,Moderate,Low,High,Energy price spike,0.706,44.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2024,East Asia,Venezuela; United States,Moderate,Low,Moderate,Global market impact,0.673,44.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2026,Middle East,China; Taiwan,Severe,None,Severe,Regional recession,0.728,59.3,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2024,East Asia,India; Pakistan,Severe,None,Low,Energy price spike,0.181,29.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2024,Middle East,China; Taiwan,Severe,None,Severe,Localized shock,0.429,48.2,🟡 Moderate,Proxy War,1,🟡 Moderate
Taiwan Strait Stability,2024,East Asia,Russia; Ukraine,High,Moderate,Moderate,Energy price spike,0.117,52.1,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2024,South Asia,Venezuela; United States,High,Moderate,High,Energy price spike,0.173,58.9,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2026,Eastern Europe,Venezuela; United States,Severe,None,High,Global market impact,0.584,54.4,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2026,Latin America,Venezuela; United States,Moderate,Moderate,High,Localized shock,0.369,47.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2026,Eastern Europe,China; Taiwan,High,Moderate,High,Global market impact,0.84,76.5,🔴 Critical,Proxy War,1,🔴 Critical
Taiwan Strait Stability,2025,South Asia,Venezuela; United States,High,Moderate,Low,Global market impact,0.845,64.9,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2024,Eastern Europe,India; Pakistan,Low,None,Severe,Energy price spike,0.606,31.4,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Middle East,North Korea; South Korea,Moderate,Moderate,Severe,Global market impact,0.514,64.9,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2025,Eastern Europe,Russia; Ukraine,High,Moderate,High,Regional recession,0.774,71.8,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2025,Latin America,Venezuela; United States,Moderate,High,Low,Global market impact,0.604,60.7,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,High,None,Moderate,Global market impact,0.419,39.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2025,Latin America,India; Pakistan,High,High,Low,Localized shock,0.637,63.6,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Low,Global market impact,0.38,33.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2026,South Asia,North Korea; South Korea,Severe,None,High,Localized shock,0.071,36.0,🟡 Moderate,Proxy War,1,🟡 Moderate
Taiwan Strait Stability,2024,Latin America,India; Pakistan,Severe,Moderate,Low,Localized shock,0.524,55.7,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,Moderate,Energy price spike,0.348,56.2,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,Low,Low,Moderate,Energy price spike,0.352,26.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2026,East Asia,Russia; Ukraine,High,None,Low,Global market impact,0.095,28.3,🟡 Moderate,Nuclear Standoff,-1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Latin America,India; Pakistan,Low,Low,Moderate,Regional recession,0.49,31.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,South Asia,China; Taiwan,Severe,High,Moderate,Localized shock,0.274,68.9,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,Middle East,China; Taiwan,Moderate,High,Severe,Global market impact,0.213,71.4,🟠 High,Direct Confrontation,1,🟠 High
Israel-Arab Tensions,2024,Eastern Europe,China; Taiwan,Moderate,Low,High,Energy price spike,0.222,36.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Middle East,China; Taiwan,Moderate,None,High,Global market impact,0.686,38.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2026,Eastern Europe,Venezuela; United States,High,High,Severe,Energy price spike,0.029,74.0,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2024,South Asia,North Korea; South Korea,Moderate,Low,High,Energy price spike,0.031,33.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2025,Middle East,Russia; Ukraine,High,Moderate,Severe,Regional recession,0.609,74.8,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2026,South Asia,India; Pakistan,Low,High,Low,Regional recession,0.776,54.3,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2025,Latin America,North Korea; South Korea,Moderate,None,Moderate,Global market impact,0.275,25.6,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Moderate,Energy price spike,0.043,21.5,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2024,Latin America,China; Taiwan,Low,Moderate,High,Localized shock,0.447,42.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2025,Eastern Europe,India; Pakistan,High,Moderate,Moderate,Global market impact,0.047,56.7,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2026,South Asia,North Korea; South Korea,High,Low,Severe,Energy price spike,0.456,58.1,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2026,Middle East,India; Pakistan,Severe,High,Low,Regional recession,0.572,74.2,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2025,Eastern Europe,China; Taiwan,Moderate,High,High,Localized shock,0.076,53.7,🟠 High,Direct Confrontation,1,🟠 High
Korean Peninsula Risk,2025,Latin America,Russia; Ukraine,High,High,High,Global market impact,0.606,84.1,🔴 Critical,Proxy War,1,🔴 Critical
Russia-Ukraine Conflict,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,High,Severe,Global market impact,0.156,82.1,🔴 Critical,Proxy War,1,🔴 Critical
Korean Peninsula Risk,2026,East Asia,India; Pakistan,Low,High,Moderate,Regional recession,0.093,48.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2025,East Asia,Venezuela; United States,Moderate,Low,Low,Regional recession,0.68,35.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2025,South Asia,Venezuela; United States,Moderate,Moderate,Severe,Localized shock,0.193,49.9,🟡 Moderate,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2025,Eastern Europe,Russia; Ukraine,Severe,None,Moderate,Regional recession,0.454,42.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2026,Middle East,North Korea; South Korea,Low,Moderate,Severe,Regional recession,0.687,58.6,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,Eastern Europe,China; Taiwan,High,Low,Moderate,Regional recession,0.267,45.3,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,South Asia,China; Taiwan,Moderate,Moderate,Low,Regional recession,0.235,38.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2024,South Asia,Venezuela; United States,Low,Low,Moderate,Energy price spike,0.706,33.1,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,None,High,Global market impact,0.739,33.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Middle East,Venezuela; United States,High,Low,Moderate,Regional recession,0.317,46.2,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Low,Global market impact,0.286,14.0,🟢 Low,Direct Confrontation,1,🟢 Low
Israel-Arab Tensions,2026,Latin America,Russia; Ukraine,Low,Low,Moderate,Regional recession,0.409,30.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2025,Eastern Europe,Russia; Ukraine,Moderate,High,Severe,Localized shock,0.664,69.9,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2026,Latin America,North Korea; South Korea,Low,None,Moderate,Regional recession,0.43,18.9,🟢 Low,Direct Confrontation,1,🟢 Low
Israel-Arab Tensions,2025,Eastern Europe,China; Taiwan,Low,High,Moderate,Energy price spike,0.637,55.4,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2026,Eastern Europe,China; Taiwan,Low,Moderate,Severe,Energy price spike,0.051,45.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Eastern Europe,Russia; Ukraine,Low,High,Severe,Global market impact,0.428,69.3,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2024,Eastern Europe,Russia; Ukraine,Moderate,None,Severe,Global market impact,0.047,33.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Severe,Regional recession,0.73,59.4,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2026,East Asia,North Korea; South Korea,High,Low,Low,Energy price spike,0.235,36.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2024,Eastern Europe,Russia; Ukraine,Severe,High,Low,Global market impact,0.752,80.8,🔴 Critical,Nuclear Standoff,-1,🔴 Critical
India-Pakistan Escalation 2025,2025,Latin America,India; Pakistan,High,Moderate,Low,Regional recession,0.623,57.5,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2026,South Asia,India; Pakistan,Low,High,Severe,Global market impact,0.199,65.3,🟠 High,Direct Confrontation,1,🟠 High
Venezuela-US Tensions 2026,2026,Middle East,North Korea; South Korea,High,None,Severe,Global market impact,0.482,52.6,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2026,Eastern Europe,Venezuela; United States,Severe,High,Severe,Regional recession,0.684,93.7,🔴 Critical,Proxy War,1,🔴 Critical
Korean Peninsula Risk,2024,East Asia,Russia; Ukraine,Low,Moderate,Severe,Energy price spike,0.765,57.6,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Severe,Energy price spike,0.222,36.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2025,Eastern Europe,China; Taiwan,Moderate,High,Low,Localized shock,0.148,43.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Eastern Europe,Russia; Ukraine,Severe,Moderate,Moderate,Localized shock,0.624,63.3,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2024,South Asia,India; Pakistan,Low,High,Moderate,Localized shock,0.211,44.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,Eastern Europe,Russia; Ukraine,Moderate,None,Low,Energy price spike,0.355,15.3,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2026,Latin America,North Korea; South Korea,Moderate,Moderate,Moderate,Global market impact,0.265,48.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Severe,Global market impact,0.205,53.6,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2024,East Asia,India; Pakistan,Low,High,Moderate,Localized shock,0.643,52.0,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2024,Latin America,Russia; Ukraine,Severe,Low,Severe,Global market impact,0.149,64.4,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2024,South Asia,North Korea; South Korea,High,None,High,Global market impact,0.829,52.9,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Low,Localized shock,0.557,38.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2025,South Asia,China; Taiwan,Moderate,None,Severe,Global market impact,0.325,38.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2024,South Asia,North Korea; South Korea,Severe,None,Low,Localized shock,0.065,24.2,🟢 Low,Nuclear Standoff,-1,🟡 Moderate
Korean Peninsula Risk,2024,East Asia,North Korea; South Korea,High,None,High,Regional recession,0.221,38.7,🟡 Moderate,Proxy War,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,East Asia,North Korea; South Korea,High,Moderate,Severe,Global market impact,0.06,68.7,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,Eastern Europe,China; Taiwan,High,None,High,Regional recession,0.727,47.6,🟡 Moderate,Proxy War,1,🟡 Moderate
Israel-Arab Tensions,2025,Latin America,North Korea; South Korea,Low,Low,Moderate,Global market impact,0.012,26.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2025,South Asia,North Korea; South Korea,High,High,Low,Regional recession,0.581,68.5,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,None,Moderate,Localized shock,0.06,24.1,🟢 Low,Nuclear Standoff,1,🟢 Low
Taiwan Strait Stability,2026,Eastern Europe,Russia; Ukraine,High,Low,Moderate,Localized shock,0.668,46.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2024,South Asia,India; Pakistan,Severe,None,Moderate,Regional recession,0.384,41.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2025,Latin America,India; Pakistan,Severe,Low,Moderate,Global market impact,0.069,51.3,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2025,Eastern Europe,Venezuela; United States,Moderate,Low,Low,Energy price spike,0.225,24.7,🟢 Low,Direct Confrontation,1,🟢 Low
Venezuela-US Tensions 2026,2026,East Asia,Venezuela; United States,Low,Low,Severe,Localized shock,0.651,40.4,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
