issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,confidence,probability_estimate,escalation_score,nuclear_score,cyber_score,prob_score,economic_score,raw_risk_score,risk_index,risk_tier,anomaly_flag,anomaly_score,predicted_tier_num,predicted_tier,cluster,archetype
India-Pakistan Escalation 2025,2024,South Asia,Russia; Ukraine,Low,High,Severe,Regional recession,Medium,0.75,5,30,20,11.25,7,73.25,71.4,🟠 High,1,-0.56498533040393,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2025,East Asia,Venezuela; United States,Severe,Moderate,High,Regional recession,Low,0.598,25,20,15,8.97,7,75.97,74.6,🟠 High,1,-0.5171794325193585,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,High,Moderate,Global market impact,Low,0.697,20,30,10,10.46,10,80.46,79.9,🔴 Critical,1,-0.5621109122533973,3,🔴 Critical,3,Nuclear Standoff
Venezuela-US Tensions 2026,2026,Eastern Europe,Russia; Ukraine,Low,High,Low,Global market impact,Medium,0.396,5,30,5,5.94,10,55.94,51.1,🟠 High,1,-0.5527664032342875,2,🟠 High,1,Direct Confrontation
India-Pakistan Escalation 2025,2025,Latin America,India; Pakistan,High,Moderate,Severe,Regional recession,High,0.492,20,20,20,7.38,7,74.38,72.7,🟠 High,1,-0.5145070022047236,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2025,East Asia,Venezuela; United States,Low,Low,Low,Global market impact,High,0.384,5,10,5,5.76,10,35.76,27.5,🟡 Moderate,1,-0.5506258554728551,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Moderate,Localized shock,Low,0.232,10,20,10,3.48,2,45.48,38.9,🟡 Moderate,1,-0.518718906428761,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,Low,Energy price spike,Medium,0.644,10,30,5,9.66,5,59.66,55.5,🟠 High,1,-0.5387310727709957,2,🟠 High,2,Cyber-Dominant
India-Pakistan Escalation 2025,2026,East Asia,India; Pakistan,Severe,Moderate,Low,Localized shock,High,0.387,25,20,5,5.8,2,57.8,53.3,🟠 High,1,-0.553097333215562,2,🟠 High,3,Nuclear Standoff
Venezuela-US Tensions 2026,2026,South Asia,Venezuela; United States,Severe,Low,Low,Regional recession,Medium,0.086,25,10,5,1.29,7,48.29,42.2,🟡 Moderate,1,-0.5403559091877843,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,Low,High,High,Regional recession,High,0.637,5,30,15,9.56,7,66.56,63.6,🟠 High,1,-0.5188925689220141,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2025,South Asia,Venezuela; United States,Low,Low,Low,Energy price spike,Low,0.566,5,10,5,8.49,5,33.49,24.8,🟢 Low,1,-0.5276946734644592,0,🟢 Low,2,Cyber-Dominant
Korean Peninsula Risk,2026,Latin America,North Korea; South Korea,High,Low,Moderate,Global market impact,Low,0.373,20,10,10,5.6,10,55.6,50.7,🟠 High,1,-0.5063187341894451,2,🟠 High,3,Nuclear Standoff
Israel-Arab Tensions,2024,South Asia,North Korea; South Korea,High,Moderate,Low,Global market impact,Low,0.733,20,20,5,11.0,10,66.0,62.9,🟠 High,1,-0.5399160313159732,2,🟠 High,3,Nuclear Standoff
Russia-Ukraine Conflict,2024,South Asia,India; Pakistan,Low,High,High,Energy price spike,High,0.774,5,30,15,11.61,5,66.61,63.6,🟠 High,1,-0.5422005751495131,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,Low,Moderate,Low,Global market impact,Medium,0.257,5,20,5,3.86,10,43.86,37.0,🟡 Moderate,1,-0.5490579947382049,1,🟡 Moderate,1,Direct Confrontation
Venezuela-US Tensions 2026,2025,Latin America,Russia; Ukraine,Low,High,High,Localized shock,Medium,0.815,5,30,15,12.22,2,64.22,60.8,🟠 High,1,-0.5786899540649967,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2025,Middle East,India; Pakistan,Moderate,Moderate,Moderate,Regional recession,High,0.769,10,20,10,11.54,7,58.54,54.2,🟠 High,1,-0.5070292407378424,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2025,Middle East,India; Pakistan,Moderate,None,Severe,Localized shock,Medium,0.38,10,0,20,5.7,2,37.7,29.8,🟡 Moderate,1,-0.5584202791812817,1,🟡 Moderate,1,Direct Confrontation
Korean Peninsula Risk,2026,Latin America,Venezuela; United States,Low,None,Low,Energy price spike,Medium,0.49,5,0,5,7.35,5,22.35,11.8,🟢 Low,1,-0.5624440251426102,0,🟢 Low,2,Cyber-Dominant
Taiwan Strait Stability,2024,East Asia,Russia; Ukraine,High,High,Severe,Energy price spike,Low,0.095,20,30,20,1.42,5,76.42,75.1,🔴 Critical,1,-0.5468804758000743,3,🔴 Critical,0,Proxy War
Russia-Ukraine Conflict,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Severe,Localized shock,Medium,0.539,25,30,20,8.09,2,85.09,85.3,🔴 Critical,-1,-0.5927427485930401,3,🔴 Critical,0,Proxy War
India-Pakistan Escalation 2025,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,None,Low,Energy price spike,Low,0.108,20,0,5,1.62,5,31.62,22.6,🟢 Low,1,-0.5530731000612283,0,🟢 Low,3,Nuclear Standoff
Taiwan Strait Stability,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,Low,Localized shock,Low,0.35,20,20,5,5.25,2,52.25,46.8,🟡 Moderate,1,-0.5327181107587723,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2026,East Asia,Russia; Ukraine,High,None,High,Energy price spike,Low,0.632,20,0,15,9.48,5,49.48,43.6,🟡 Moderate,1,-0.5145300524341835,1,🟡 Moderate,0,Proxy War
Korean Peninsula Risk,2025,South Asia,North Korea; South Korea,Low,Low,Severe,Regional recession,Medium,0.164,5,10,20,2.46,7,44.46,37.7,🟡 Moderate,1,-0.5231556510395035,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2026,East Asia,India; Pakistan,Low,Low,Severe,Localized shock,High,0.342,5,10,20,5.13,2,42.13,35.0,🟡 Moderate,1,-0.5527866179749925,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2025,South Asia,India; Pakistan,Low,High,High,Localized shock,High,0.167,5,30,15,2.51,2,54.51,49.5,🟡 Moderate,1,-0.5513778221022256,1,🟡 Moderate,1,Direct Confrontation
Venezuela-US Tensions 2026,2025,Middle East,North Korea; South Korea,High,High,Moderate,Global market impact,Medium,0.231,20,30,10,3.47,10,73.47,71.7,🟠 High,1,-0.5507749856569856,2,🟠 High,3,Nuclear Standoff
Taiwan Strait Stability,2024,Eastern Europe,Venezuela; United States,High,Low,Low,Energy price spike,Medium,0.748,20,10,5,11.22,5,51.22,45.6,🟡 Moderate,1,-0.5249094437348798,1,🟡 Moderate,3,Nuclear Standoff
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,Moderate,Moderate,Severe,Global market impact,High,0.453,10,20,20,6.8,10,66.8,63.9,🟠 High,1,-0.531728183223427,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2026,Latin America,North Korea; South Korea,Severe,High,High,Localized shock,Medium,0.464,25,30,15,6.96,2,78.96,78.1,🔴 Critical,1,-0.5626770764407677,3,🔴 Critical,0,Proxy War
Venezuela-US Tensions 2026,2024,Eastern Europe,North Korea; South Korea,Low,High,High,Global market impact,High,0.419,5,30,15,6.28,10,66.28,63.3,🟠 High,1,-0.5165563010214986,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2025,Eastern Europe,Venezuela; United States,Low,None,Low,Regional recession,Medium,0.209,5,0,5,3.14,7,20.14,9.2,🟢 Low,1,-0.5766456134954328,0,🟢 Low,1,Direct Confrontation
India-Pakistan Escalation 2025,2025,East Asia,North Korea; South Korea,High,Low,High,Energy price spike,Medium,0.563,20,10,15,8.44,5,58.44,54.1,🟠 High,1,-0.4865759810907605,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2026,Latin America,Venezuela; United States,Low,High,Severe,Global market impact,Medium,0.604,5,30,20,9.06,10,74.06,72.4,🟠 High,1,-0.5608102980463465,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2024,Latin America,Russia; Ukraine,Severe,None,Severe,Energy price spike,Low,0.677,25,0,20,10.16,5,60.16,56.1,🟠 High,1,-0.5489600986455536,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2024,Eastern Europe,India; Pakistan,High,High,Low,Regional recession,Low,0.473,20,30,5,7.1,7,69.1,66.6,🟠 High,1,-0.5173400915885668,2,🟠 High,3,Nuclear Standoff
Venezuela-US Tensions 2026,2024,Latin America,India; Pakistan,High,High,Moderate,Localized shock,Low,0.754,20,30,10,11.31,2,73.31,71.5,🟠 High,1,-0.5635257644456669,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2024,South Asia,India; Pakistan,Moderate,Low,High,Localized shock,Low,0.67,10,10,15,10.05,2,47.05,40.7,🟡 Moderate,1,-0.5182100938238333,1,🟡 Moderate,2,Cyber-Dominant
Taiwan Strait Stability,2024,Eastern Europe,China; Taiwan,High,None,Moderate,Regional recession,Low,0.714,20,0,10,10.71,7,47.71,41.5,🟡 Moderate,1,-0.5220474253839784,1,🟡 Moderate,3,Nuclear Standoff
India-Pakistan Escalation 2025,2026,Eastern Europe,Russia; Ukraine,Low,Low,Low,Localized shock,Medium,0.064,5,10,5,0.96,2,22.96,12.5,🟢 Low,-1,-0.5986651067795696,0,🟢 Low,1,Direct Confrontation
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,High,Low,Moderate,Energy price spike,High,0.802,20,10,10,12.03,5,57.03,52.4,🟠 High,1,-0.5187452566106898,2,🟠 High,3,Nuclear Standoff
Venezuela-US Tensions 2026,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Low,Regional recession,Medium,0.186,25,0,5,2.79,7,39.79,32.2,🟡 Moderate,1,-0.5562013242541337,1,🟡 Moderate,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,High,Energy price spike,Low,0.243,25,0,15,3.64,5,48.64,42.6,🟡 Moderate,1,-0.532635882043451,1,🟡 Moderate,0,Proxy War
Russia-Ukraine Conflict,2024,East Asia,Venezuela; United States,High,Low,Moderate,Localized shock,Low,0.347,20,10,10,5.2,2,47.2,40.9,🟡 Moderate,1,-0.5147321176163288,1,🟡 Moderate,3,Nuclear Standoff
Israel-Arab Tensions,2024,Middle East,North Korea; South Korea,Moderate,Moderate,Low,Energy price spike,Low,0.066,10,20,5,0.99,5,40.99,33.6,🟡 Moderate,1,-0.5454064903856028,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2026,Eastern Europe,China; Taiwan,Low,Moderate,High,Global market impact,Low,0.749,5,20,15,11.24,10,61.24,57.3,🟠 High,1,-0.5378439976293846,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2026,Middle East,Russia; Ukraine,Low,None,Low,Localized shock,Low,0.231,5,0,5,3.47,2,15.47,3.7,🟢 Low,-1,-0.6111284234727962,0,🟢 Low,1,Direct Confrontation
Venezuela-US Tensions 2026,2026,Latin America,Venezuela; United States,Low,Moderate,Moderate,Localized shock,High,0.32,5,20,10,4.8,2,41.8,34.6,🟡 Moderate,1,-0.5282059035738932,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2024,Middle East,India; Pakistan,Moderate,Low,Low,Energy price spike,Medium,0.512,10,10,5,7.68,5,37.68,29.7,🟡 Moderate,1,-0.5115096642377691,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2026,South Asia,Russia; Ukraine,Low,Low,Low,Global market impact,Low,0.563,5,10,5,8.44,10,38.44,30.6,🟡 Moderate,1,-0.5399370914793759,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,Moderate,None,Severe,Energy price spike,Low,0.111,10,0,20,1.66,5,36.66,28.5,🟡 Moderate,1,-0.5440332187568016,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2026,South Asia,Russia; Ukraine,Severe,None,Low,Regional recession,Medium,0.2,25,0,5,3.0,7,40.0,32.5,🟡 Moderate,1,-0.5571898095415725,1,🟡 Moderate,3,Nuclear Standoff
Korean Peninsula Risk,2024,East Asia,North Korea; South Korea,High,High,High,Localized shock,High,0.512,20,30,15,7.68,2,74.68,73.1,🟠 High,1,-0.5455837489946713,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2026,Latin America,North Korea; South Korea,Low,None,Low,Regional recession,Medium,0.833,5,0,5,12.5,7,29.5,20.2,🟢 Low,1,-0.5761836256009579,0,🟢 Low,2,Cyber-Dominant
Russia-Ukraine Conflict,2025,East Asia,China; Taiwan,Severe,None,High,Localized shock,Medium,0.397,25,0,15,5.96,2,47.96,41.8,🟡 Moderate,1,-0.5492477088517624,1,🟡 Moderate,0,Proxy War
India-Pakistan Escalation 2025,2026,East Asia,Venezuela; United States,Moderate,High,Low,Localized shock,High,0.161,10,30,5,2.42,2,49.42,43.5,🟡 Moderate,1,-0.5656927054117288,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2024,East Asia,China; Taiwan,Low,Moderate,High,Energy price spike,Low,0.213,5,20,15,3.2,5,48.2,42.1,🟡 Moderate,1,-0.5027706619346336,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2025,Eastern Europe,Russia; Ukraine,Low,Low,Severe,Regional recession,Low,0.33,5,10,20,4.95,7,46.95,40.6,🟡 Moderate,1,-0.510844524784353,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2026,East Asia,North Korea; South Korea,High,Low,Severe,Regional recession,High,0.376,20,10,20,5.64,7,62.64,59.0,🟠 High,1,-0.504693674719438,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Moderate,Regional recession,Medium,0.279,20,10,10,4.19,7,51.19,45.6,🟡 Moderate,1,-0.48166122495060243,1,🟡 Moderate,3,Nuclear Standoff
Korean Peninsula Risk,2026,South Asia,India; Pakistan,Severe,None,Low,Energy price spike,Medium,0.462,25,0,5,6.93,5,41.93,34.7,🟡 Moderate,1,-0.5416341359540023,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2025,East Asia,North Korea; South Korea,Moderate,High,Moderate,Localized shock,Low,0.615,10,30,10,9.22,2,61.22,57.3,🟠 High,1,-0.5270696189706333,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2025,East Asia,North Korea; South Korea,High,Moderate,Moderate,Global market impact,Medium,0.599,20,20,10,8.98,10,68.98,66.4,🟠 High,1,-0.5151035874956048,2,🟠 High,3,Nuclear Standoff
Israel-Arab Tensions,2025,Latin America,North Korea; South Korea,High,High,Moderate,Localized shock,Low,0.366,20,30,10,5.49,2,67.49,64.7,🟠 High,1,-0.5338771922340037,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,Middle East,India; Pakistan,Low,Low,Low,Global market impact,Low,0.845,5,10,5,12.68,10,42.68,35.6,🟡 Moderate,1,-0.5784853765927773,1,🟡 Moderate,2,Cyber-Dominant
Taiwan Strait Stability,2026,Middle East,Venezuela; United States,High,Moderate,Low,Energy price spike,Medium,0.712,20,20,5,10.68,5,60.68,56.7,🟠 High,1,-0.5218505686634745,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2026,South Asia,Russia; Ukraine,Severe,Moderate,Moderate,Localized shock,Low,0.373,25,20,10,5.6,2,62.6,58.9,🟠 High,1,-0.532493541091255,2,🟠 High,3,Nuclear Standoff
Russia-Ukraine Conflict,2024,East Asia,India; Pakistan,Low,High,High,Global market impact,Low,0.331,5,30,15,4.96,10,64.96,61.7,🟠 High,1,-0.5245110490132346,2,🟠 High,1,Direct Confrontation
Venezuela-US Tensions 2026,2024,East Asia,Venezuela; United States,High,None,High,Global market impact,Low,0.297,20,0,15,4.46,10,49.46,43.5,🟡 Moderate,1,-0.5278616703594392,1,🟡 Moderate,0,Proxy War
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Low,Moderate,Low,Regional recession,High,0.735,5,20,5,11.02,7,48.02,41.9,🟡 Moderate,1,-0.5359457895291739,1,🟡 Moderate,2,Cyber-Dominant
Taiwan Strait Stability,2025,Eastern Europe,Venezuela; United States,High,High,Severe,Global market impact,Medium,0.586,20,30,20,8.79,10,88.79,89.6,🔴 Critical,-1,-0.5944961765284023,3,🔴 Critical,0,Proxy War
Venezuela-US Tensions 2026,2026,Middle East,Venezuela; United States,Moderate,None,High,Global market impact,Low,0.467,10,0,15,7.01,10,42.01,34.8,🟡 Moderate,1,-0.5121253451043972,1,🟡 Moderate,2,Cyber-Dominant
Taiwan Strait Stability,2025,Latin America,North Korea; South Korea,High,High,Moderate,Global market impact,Low,0.409,20,30,10,6.14,10,76.14,74.8,🟠 High,1,-0.546337344866807,2,🟠 High,3,Nuclear Standoff
Russia-Ukraine Conflict,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,High,Energy price spike,Medium,0.634,10,30,15,9.51,5,69.51,67.0,🟠 High,1,-0.51038050191594,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2025,South Asia,China; Taiwan,Moderate,Low,Low,Regional recession,Medium,0.349,10,10,5,5.24,7,37.24,29.2,🟡 Moderate,1,-0.5137583450929413,1,🟡 Moderate,1,Direct Confrontation
Korean Peninsula Risk,2025,Latin America,India; Pakistan,Severe,Low,High,Localized shock,High,0.371,25,10,15,5.56,2,57.56,53.0,🟠 High,1,-0.5410085643507015,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2024,Eastern Europe,India; Pakistan,Low,None,High,Regional recession,Low,0.32,5,0,15,4.8,7,31.8,22.8,🟢 Low,1,-0.5079426778406197,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2024,Middle East,Russia; Ukraine,Severe,None,High,Localized shock,High,0.345,25,0,15,5.18,2,47.18,40.9,🟡 Moderate,1,-0.5519251326629007,1,🟡 Moderate,0,Proxy War
Taiwan Strait Stability,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Severe,Regional recession,High,0.233,5,10,20,3.5,7,45.5,38.9,🟡 Moderate,1,-0.5180627688282595,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2026,Latin America,India; Pakistan,Low,High,High,Regional recession,High,0.838,5,30,15,12.57,7,69.57,67.1,🟠 High,1,-0.5616229495194064,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2024,East Asia,India; Pakistan,Low,High,High,Energy price spike,Low,0.541,5,30,15,8.12,5,63.12,59.6,🟠 High,1,-0.5092787523945624,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2024,Middle East,Venezuela; United States,Moderate,Low,Low,Energy price spike,High,0.246,10,10,5,3.69,5,33.69,25.1,🟡 Moderate,1,-0.5282789974272463,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2024,East Asia,North Korea; South Korea,Severe,Moderate,Moderate,Regional recession,High,0.438,25,20,10,6.57,7,68.57,65.9,🟠 High,1,-0.494080432801158,2,🟠 High,3,Nuclear Standoff
Israel-Arab Tensions,2026,Latin America,India; Pakistan,Moderate,Moderate,Moderate,Energy price spike,High,0.181,10,20,10,2.72,5,47.72,41.5,🟡 Moderate,1,-0.49286268389906185,1,🟡 Moderate,1,Direct Confrontation
Venezuela-US Tensions 2026,2026,South Asia,North Korea; South Korea,Low,Low,Severe,Global market impact,Low,0.122,5,10,20,1.83,10,46.83,40.5,🟡 Moderate,1,-0.5564265276914228,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2025,Latin America,Venezuela; United States,Low,Moderate,Moderate,Energy price spike,Low,0.792,5,20,10,11.88,5,51.88,46.4,🟡 Moderate,1,-0.5211470494404311,1,🟡 Moderate,2,Cyber-Dominant
Israel-Arab Tensions,2025,East Asia,North Korea; South Korea,High,None,High,Regional recession,High,0.443,20,0,15,6.64,7,48.64,42.6,🟡 Moderate,1,-0.5007244814714918,1,🟡 Moderate,0,Proxy War
Taiwan Strait Stability,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Low,Regional recession,High,0.793,25,0,5,11.9,7,48.9,42.9,🟡 Moderate,1,-0.5746758615203549,1,🟡 Moderate,3,Nuclear Standoff
Venezuela-US Tensions 2026,2026,Middle East,Russia; Ukraine,Low,None,Moderate,Regional recession,High,0.849,5,0,10,12.74,7,34.74,26.3,🟡 Moderate,1,-0.5546467247678014,1,🟡 Moderate,2,Cyber-Dominant
Venezuela-US Tensions 2026,2024,Eastern Europe,India; Pakistan,High,None,Low,Global market impact,Low,0.686,20,0,5,10.29,10,45.29,38.7,🟡 Moderate,1,-0.5670359372372556,1,🟡 Moderate,3,Nuclear Standoff
Israel-Arab Tensions,2025,Latin America,Venezuela; United States,High,High,Moderate,Energy price spike,Medium,0.435,20,30,10,6.52,5,71.52,69.4,🟠 High,1,-0.5036158837010986,2,🟠 High,3,Nuclear Standoff
Taiwan Strait Stability,2025,South Asia,North Korea; South Korea,Low,Low,Moderate,Global market impact,Low,0.72,5,10,10,10.8,10,45.8,39.3,🟡 Moderate,1,-0.5312971655110995,1,🟡 Moderate,2,Cyber-Dominant
Israel-Arab Tensions,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,Moderate,Severe,Global market impact,High,0.173,25,20,20,2.6,10,77.6,76.5,🔴 Critical,1,-0.5671712192774009,3,🔴 Critical,0,Proxy War
Russia-Ukraine Conflict,2025,Middle East,Venezuela; United States,High,Low,Moderate,Regional recession,Medium,0.198,20,10,10,2.97,7,49.97,44.1,🟡 Moderate,1,-0.48114757488125265,1,🟡 Moderate,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,Latin America,India; Pakistan,Severe,Low,Moderate,Regional recession,High,0.107,25,10,10,1.6,7,53.6,48.4,🟡 Moderate,1,-0.5131648534298903,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2026,East Asia,Venezuela; United States,Moderate,Moderate,High,Localized shock,High,0.096,10,20,15,1.44,2,48.44,42.3,🟡 Moderate,1,-0.5264615639388844,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2026,East Asia,Venezuela; United States,High,None,Moderate,Global market impact,Low,0.232,20,0,10,3.48,10,43.48,36.5,🟡 Moderate,1,-0.5495560283155576,1,🟡 Moderate,3,Nuclear Standoff
India-Pakistan Escalation 2025,2026,Eastern Europe,Russia; Ukraine,High,High,High,Localized shock,High,0.789,20,30,15,11.84,2,78.84,78.0,🔴 Critical,1,-0.5731383809538394,3,🔴 Critical,0,Proxy War
Russia-Ukraine Conflict,2024,Eastern Europe,North Korea; South Korea,Severe,None,Severe,Global market impact,Medium,0.279,25,0,20,4.19,10,59.19,54.9,🟠 High,1,-0.5828249028367406,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2026,Middle East,Russia; Ukraine,Low,Moderate,Low,Global market impact,Medium,0.122,5,20,5,1.83,10,41.83,34.6,🟡 Moderate,1,-0.566719062766175,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2026,Eastern Europe,India; Pakistan,High,Moderate,High,Localized shock,Medium,0.36,20,20,15,5.4,2,62.4,58.7,🟠 High,1,-0.5208033633160565,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2024,Eastern Europe,Venezuela; United States,Moderate,Low,Low,Localized shock,Low,0.32,10,10,5,4.8,2,31.8,22.8,🟢 Low,1,-0.5483476359205174,0,🟢 Low,1,Direct Confrontation
India-Pakistan Escalation 2025,2026,South Asia,India; Pakistan,High,None,Severe,Localized shock,Medium,0.656,20,0,20,9.84,2,51.84,46.3,🟡 Moderate,1,-0.5548539101727025,1,🟡 Moderate,0,Proxy War
Israel-Arab Tensions,2025,Latin America,Venezuela; United States,Moderate,Low,High,Regional recession,Low,0.391,10,10,15,5.86,7,47.86,41.7,🟡 Moderate,1,-0.472100083571237,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2024,East Asia,Venezuela; United States,Moderate,High,Severe,Localized shock,Low,0.824,10,30,20,12.36,2,74.36,72.7,🟠 High,-1,-0.5881162367857028,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2025,Eastern Europe,North Korea; South Korea,Moderate,Moderate,Severe,Localized shock,High,0.091,10,20,20,1.36,2,53.36,48.1,🟡 Moderate,1,-0.5477660475734732,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2025,East Asia,China; Taiwan,High,None,High,Global market impact,Medium,0.063,20,0,15,0.94,10,45.94,39.4,🟡 Moderate,1,-0.5628434065970922,1,🟡 Moderate,0,Proxy War
Korean Peninsula Risk,2024,Middle East,India; Pakistan,Low,Moderate,Moderate,Global market impact,High,0.048,5,20,10,0.72,10,45.72,39.2,🟡 Moderate,1,-0.5592367575659273,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2026,South Asia,North Korea; South Korea,Moderate,Moderate,Low,Energy price spike,High,0.249,10,20,5,3.74,5,43.74,36.8,🟡 Moderate,1,-0.522255603587793,1,🟡 Moderate,1,Direct Confrontation
Venezuela-US Tensions 2026,2024,East Asia,North Korea; South Korea,Low,None,Moderate,Regional recession,High,0.264,5,0,10,3.96,7,25.96,16.0,🟢 Low,1,-0.5419282073772065,0,🟢 Low,1,Direct Confrontation
Israel-Arab Tensions,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Severe,Localized shock,Low,0.344,20,10,20,5.16,2,57.16,52.6,🟠 High,1,-0.5408870011333226,2,🟠 High,0,Proxy War
Israel-Arab Tensions,2025,Eastern Europe,China; Taiwan,Moderate,Low,Moderate,Global market impact,Low,0.41,10,10,10,6.15,10,46.15,39.7,🟡 Moderate,1,-0.511383480792482,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2025,East Asia,North Korea; South Korea,High,Low,Moderate,Energy price spike,Medium,0.588,20,10,10,8.82,5,53.82,48.7,🟡 Moderate,1,-0.48540568739102086,1,🟡 Moderate,3,Nuclear Standoff
Korean Peninsula Risk,2024,East Asia,North Korea; South Korea,Moderate,High,Severe,Regional recession,Low,0.298,10,30,20,4.47,7,71.47,69.3,🟠 High,1,-0.5230226428606521,2,🟠 High,1,Direct Confrontation
Korean Peninsula Risk,2026,Eastern Europe,Russia; Ukraine,Severe,High,High,Regional recession,Medium,0.474,25,30,15,7.11,7,84.11,84.1,🔴 Critical,1,-0.5389737852826697,3,🔴 Critical,0,Proxy War
India-Pakistan Escalation 2025,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Moderate,Global market impact,Medium,0.521,5,0,10,7.82,10,32.82,24.0,🟢 Low,1,-0.5366908480850795,0,🟢 Low,2,Cyber-Dominant
Taiwan Strait Stability,2024,Middle East,Venezuela; United States,High,High,Severe,Localized shock,Low,0.094,20,30,20,1.41,2,73.41,71.6,🟠 High,1,-0.5855150275572075,2,🟠 High,0,Proxy War
